n_estimators,max_depth,Accuracy,F1 Score,Recall
1,1,0.5590252965556667,0.4549501141604088,0.5718528387472674
1,3,0.6437759039588395,0.6354422532970712,0.6567484679981934
1,5,0.7225953980277262,0.7506916692208224,0.7234608911488077
10,1,0.6612119479777048,0.4712943423774439,0.5070758467046096
10,3,0.8469344004573388,0.8258996002464163,0.7973446711354285
10,5,0.9038873803058454,0.8899689220318318,0.8650579566548967
25,1,0.7669715592396742,0.5444215343506104,0.5900522923507235
25,3,0.9611261969415463,0.932656154431446,0.9096959789593225
25,5,0.9688437901957982,0.9465037918222688,0.9273696485090789
